CSCOD,MENGE,EBELN,BSART,ADPRI,BEDAT,LIFNR,WAERS,ZZSTORT,MATNR,NETPR,NETWR,ZZJRRQ,ZZGHRQ,ZXLTAT,PNR_ID
MU,1,1500006648,HQY,CRT,20230301,1000000141,RMB,B737NG,3214972-1,5000.0,5000.0,20230302,20230310.0,8.0,21-6X-18
MU,1,1500007509,HQY,CRT,20230614,1000000575,RMB,B737NG,21933-01AD,25140.16,25140.16,20230614,20230630.0,16.0,21-3x-02
MU,1,1500007521,HQY,AOG,20230615,1000000152,RMB,B737NG,607518-2,2000.0,2000.0,20230615,20230626.0,11.0,21-5X-37
MU,1,1500008178,HQY,NOR,20230823,1000000142,RMB,B737NG,3214972-1,200.0,200.0,20230824,20230905.0,12.0,21-6X-18
MU,1,1500007964,HQY,NOR,20230802,1000000152,RMB,B737NG,67600014-1,12000.0,12000.0,20230802,20230815.0,13.0,21-5X-11
MU,1,4100008798,HQY,AOG,20171211,1000000575,RMB,B737NG,67600014-1,66923.17,66923.17,20171212,20180316.0,94.0,21-5X-11
MU,1,1600152033,HQY,AOG,20200412,1000000012,RMB,B737NG,645242-1,11812.63,11812.63,20200413,20200506.0,23.0,21-2x-28
MU,1,1600181227,HQY,CRT,20200801,1000000141,RMB,B737NG,3290206-1,6473.39,6473.39,20200801,20200814.0,13.0,21-5X-36
MU,1,1600181721,HQY,AOG,20200803,1000000031,RMB,B737NG,4101054,10000.0,10000.0,20200811,20200814.0,3.0,21-2x-25
MU,1,1600195976,HQY,AOG,20200922,1000000142,RMB,B737NG,3202444-1,1234.97,1234.97,20200923,20200927.0,4.0,21-6X-17
MU,1,1500002191,HQY,NOR,20200927,1000000152,RMB,B737NG,645242-1,14000.0,14000.0,20200928,20201103.0,36.0,21-2x-28
MU,1,4100007243,HQY,AOG,20170120,1000000141,RMB,B737NG,541674-4,1.0,1.0,20170123,20170210.0,18.0,21-5X-11
MU,1,4100007165,HQY,AOG,20170103,1000000575,RMB,B737NG,21230-10BA,27438.37,27438.37,20170103,20170109.0,6.0,21-3x-03
MU,1,4100007673,HQY,AOG,20170504,1000000155,RMB,B737NG,65-52810-64,4972.15,4972.15,20170504,20170512.0,8.0,21-5X-02
MU,1,4100007954,HQY,AOG,20170625,1000000141,RMB,B737NG,67600014-1,1.0,1.0,20170626,20171110.0,137.0,21-5X-11
MU,1,4100007907,HQY,CRT,20170618,1000000575,RMB,B737NG,645242-1,30496.59,30496.59,20170618,20170901.0,75.0,21-2x-28
MU,1,4100008004,HQY,NOR,20170703,1000000141,RMB,B737NG,67600014-1,1.0,1.0,20170705,20171016.0,103.0,21-5X-11
MU,1,4100008069,HQY,AOG,20170714,1000000141,RMB,B737NG,67600014-1,1.0,1.0,20170715,20171120.0,128.0,21-5X-11
MU,1,4100008008,HQY,AOG,20170704,1000000575,RMB,B737NG,67600014-1,4586.21,4586.21,20170705,20170710.0,5.0,21-5X-11
MU,1,4100008007,HQY,AOG,20170704,1000000575,RMB,B737NG,67600014-1,31030.2,31030.2,20170705,20170816.0,42.0,21-5X-11
MU,1,4100007940,HQY,CRT,20170623,1000000141,RMB,B737NG,396498-2,1.0,1.0,20170626,20170921.0,87.0,21-5X-03
MU,1,4100007949,HQY,AOG,20170624,1000000575,RMB,B737NG,396498-2,55422.52,55422.52,20170628,20170816.0,49.0,21-5X-03
MU,1,4100008108,HQY,NOR,20170723,1000000141,RMB,B737NG,67600014-1,1.0,1.0,20170724,20171108.0,107.0,21-5X-11
MU,1,4100007974,HQY,AOG,20170627,1000000155,RMB,B737NG,67600014-1,36656.4,36656.4,20170628,20170815.0,48.0,21-5X-11
MU,1,4100008181,HQY,CRT,20170807,1000000155,RMB,B737NG,WL501RC1,3890.46,3890.46,20170808,20171103.0,87.0,21-3x-07-A
MU,1,4100008235,HQY,AOG,20170817,1000000575,RMB,B737NG,7123-19973-03AC,21166.59,21166.59,20170817,20170901.0,15.0,21-3X-01
MU,1,4100008139,HQY,CRT,20170729,1000000575,RMB,B737NG,396608-1,46881.01,46881.01,20170731,20170828.0,28.0,21-5X-03
MU,1,4100008148,HQY,AOG,20170730,1000000141,RMB,B737NG,396608-1,1.0,1.0,20170731,20170914.0,45.0,21-5X-03
MU,1,4100008195,HQY,AOG,20170810,1000000575,RMB,B737NG,67600014-1,19594.17,19594.17,20170811,20170905.0,25.0,21-5X-11
MU,1,4100008160,HQY,AOG,20170802,1000000152,RMB,B737NG,396608-1,13934.3,13934.3,20170802,20170811.0,9.0,21-5X-03
MU,1,4100008533,HQY,AOG,20171016,1000000575,RMB,B737NG,WL501RC1,6090.19,6090.19,20171017,20171101.0,15.0,21-3x-07-A
MU,1,4100008461,HQY,AOG,20171001,1000000141,RMB,B737NG,541674-4,1.0,1.0,20171011,20171027.0,16.0,21-5X-11
MU,1,4100008799,HQY,AOG,20171211,1000000575,RMB,B737NG,67600014-1,11804.82,11804.82,20171212,20171227.0,15.0,21-5X-11
MU,1,1600025444,HQY,AOG,20190329,1000000733,RMB,B737NG,21230-10BA,18258.07,18258.07,20190401,20190403.0,2.0,21-3x-03
MU,1,1600049779,HQY,AOG,20190531,1000000141,RMB,B737NG,3290206-1,1928.66,1928.66,20190603,20190603.0,1.0,21-5X-36
MU,1,1600043713,HQY,AOG,20190517,1000000012,RMB,B737NG,645242-1,24975.39,24975.39,20190518,20190716.0,59.0,21-2x-28
